type,NOMBRE,LATITUD,LONGITUD,radius
shelter,Universidad del Valle de Mexico Campus San Angel,19.336474,-99.19265,100
shelter,Venustiano Carranza,19.419172,-99.112927,100
shelter,Azcapotzalco,19.483777,-99.184528,100
shelter,Universidad del Valle de Mexico Sede Coyoacan,19.311669,-99.138898,200
shelter,Universidad Nacional Autonoma de Mexico Casa Universitaria del Libro,19.422911,-99.160724,100
shelter,Miguel Hidalgo,19.407544,-99.190465,100
shelter,Cuauhtemoc,19.441222,-99.152042,100
shelter,Xochimilco,19.263339,-99.104273,100
shelter,Cuajimalpa de Morelos,19.357469,-99.299553,100
shelter,Milpa Alta,19.19147,-99.023502,100
shelter,Benito Juarez,19.37137,-99.15793,200
shelter,Universidad Autonoma Metropolitana Xochimilco (Auditorios),19.301055,-99.103429,100
shelter,Alvaro Obregon,19.389479,-99.196052,100
shelter,Universidad Nacional Autonoma de Mexico estacionamiento del Universum,19.311931,-99.180549,100
shelter,Universidad del Valle de Mexico Campus San Rafael,19.436705,-99.158403,100
shelter,Instituto Politecnico Nacional  ESCA Tepepan,19.284748,-99.149718,100
shelter,Iztapalapa,19.359285,-99.092517,100
shelter,Universidad Anahuac Mexico Campus Sur,19.33405,-99.244239,100
shelter,Tlahuac,19.270398,-99.004907,100
shelter,Gustavo A. Madero,19.483037,-99.113734,100
shelter,Coyoacan,19.3499,-99.162371,100
shelter,Escuela Nacional de Antropologia e Historia,19.30238,-99.179669,100
shelter,Iztacalco,19.395686,-99.097138,100
shelter,Instituto Politecnico Nacional ESIME Zacatenco,19.496047,-99.134467,100
shelter,Universidad Autonoma Metropolitana Azcapotzalco,19.503623,-99.186922,200
shelter,La Magdalena Contreras,19.30489,-99.24135,100
shelter,Tecnologico de Monterrey Ciudad de Mexico,19.283674,-99.135897,200
shelter,Universidad La Salle Unidad Condesa,19.408536,-99.180856,100
shelter,Tlalpan,19.288732,-99.166959,100
shelter,Estadio Olimpico Universitario,19.332823,-99.190557,500
shelter,Ciudad de Mexico,19.432735,-99.133323,200
